,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
42,2004,1,2,16,30,39,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2004,1,2,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2004,1,2,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2004,1,2,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2004,1,2,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2004,1,2,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2004,1,2,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2004,1,2,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2004,1,3,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2004,1,3,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2004,1,3,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2004,1,3,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2004,1,3,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2004,1,3,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2004,1,3,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2004,1,3,7,30,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2004,1,3,8,30,62,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2004,1,3,9,30,144,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2004,1,3,10,30,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2004,1,3,11,30,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2004,1,3,12,30,163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2004,1,3,13,30,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2004,1,3,14,30,273,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2004,1,3,15,30,218,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2004,1,3,16,30,56,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2004,1,3,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2004,1,3,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2004,1,3,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2004,1,3,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2004,1,3,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2004,1,3,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2004,1,3,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2004,1,4,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2004,1,4,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2004,1,4,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2004,1,4,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2004,1,4,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2004,1,4,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2004,1,4,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2004,1,4,7,30,36,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2004,1,4,8,30,217,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2004,1,4,9,30,394,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2004,1,4,10,30,527,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2004,1,4,11,30,605,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2004,1,4,12,30,615,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2004,1,4,13,30,558,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2004,1,4,14,30,327,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2004,1,4,15,30,274,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2004,1,4,16,30,85,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2004,1,4,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2004,1,4,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2004,1,4,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2004,1,4,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2004,1,4,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2004,1,4,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2004,1,4,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2004,1,5,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2004,1,5,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2004,1,5,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2004,1,5,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2004,1,5,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2004,1,5,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2004,1,5,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2004,1,5,7,30,34,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2004,1,5,8,30,210,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2004,1,5,9,30,384,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2004,1,5,10,30,515,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2004,1,5,11,30,591,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2004,1,5,12,30,601,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2004,1,5,13,30,546,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2004,1,5,14,30,303,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2004,1,5,15,30,140,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2004,1,5,16,30,44,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2004,1,5,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2004,1,5,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2004,1,5,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2004,1,5,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2004,1,5,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2004,1,5,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2004,1,5,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2004,1,6,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2004,1,6,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2004,1,6,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2004,1,6,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2004,1,6,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2004,1,6,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2004,1,6,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2004,1,6,7,30,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2004,1,6,8,30,210,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2004,1,6,9,30,384,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2004,1,6,10,30,517,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2004,1,6,11,30,594,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2004,1,6,12,30,600,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2004,1,6,13,30,546,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2004,1,6,14,30,293,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2004,1,6,15,30,267,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2004,1,6,16,30,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2004,1,6,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2004,1,6,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2004,1,6,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2004,1,6,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2004,1,6,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2004,1,6,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2004,1,6,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2004,1,7,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2004,1,7,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2004,1,7,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2004,1,7,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2004,1,7,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2004,1,7,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2004,1,7,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2004,1,7,7,30,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2004,1,7,8,30,207,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2004,1,7,9,30,380,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2004,1,7,10,30,512,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2004,1,7,11,30,584,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2004,1,7,12,30,595,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2004,1,7,13,30,383,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2004,1,7,14,30,337,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2004,1,7,15,30,198,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2004,1,7,16,30,49,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2004,1,7,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2004,1,7,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2004,1,7,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2004,1,7,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2004,1,7,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2004,1,7,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2004,1,7,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2004,1,8,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2004,1,8,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2004,1,8,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2004,1,8,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2004,1,8,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2004,1,8,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2004,1,8,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2004,1,8,7,30,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2004,1,8,8,30,134,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2004,1,8,9,30,270,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2004,1,8,10,30,521,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,2004,1,8,11,30,604,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2004,1,8,12,30,616,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2004,1,8,13,30,561,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2004,1,8,14,30,445,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2004,1,8,15,30,281,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,2004,1,8,16,30,94,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2004,1,8,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,2004,1,8,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2004,1,8,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2004,1,8,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,2004,1,8,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2004,1,8,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2004,1,8,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2004,1,9,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2004,1,9,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2004,1,9,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2004,1,9,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2004,1,9,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2004,1,9,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2004,1,9,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2004,1,9,7,30,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2004,1,9,8,30,211,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2004,1,9,9,30,386,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2004,1,9,10,30,520,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2004,1,9,11,30,594,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2004,1,9,12,30,606,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2004,1,9,13,30,553,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2004,1,9,14,30,440,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2004,1,9,15,30,278,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2004,1,9,16,30,94,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2004,1,9,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2004,1,9,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,2004,1,9,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2004,1,9,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2004,1,9,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2004,1,9,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2004,1,9,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2004,1,10,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2004,1,10,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2004,1,10,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2004,1,10,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2004,1,10,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2004,1,10,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2004,1,10,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2004,1,10,7,30,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2004,1,10,8,30,209,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2004,1,10,9,30,384,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2004,1,10,10,30,518,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2004,1,10,11,30,594,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2004,1,10,12,30,608,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2004,1,10,13,30,549,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2004,1,10,14,30,355,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
