,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
33,2019,1,2,7,30,54,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2019,1,2,8,30,231,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2019,1,2,9,30,400,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2019,1,2,10,30,524,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2019,1,2,11,30,580,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2019,1,2,12,30,590,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2019,1,2,13,30,524,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2019,1,2,14,30,397,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2019,1,2,15,30,174,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2019,1,2,16,30,45,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2019,1,2,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2019,1,2,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2019,1,2,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2019,1,2,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2019,1,2,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2019,1,2,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2019,1,2,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2019,1,3,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2019,1,3,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2019,1,3,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2019,1,3,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2019,1,3,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2019,1,3,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2019,1,3,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2019,1,3,7,30,56,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2019,1,3,8,30,238,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2019,1,3,9,30,410,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2019,1,3,10,30,535,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2019,1,3,11,30,602,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2019,1,3,12,30,603,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2019,1,3,13,30,537,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2019,1,3,14,30,413,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2019,1,3,15,30,240,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2019,1,3,16,30,59,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2019,1,3,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2019,1,3,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2019,1,3,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2019,1,3,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2019,1,3,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2019,1,3,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2019,1,3,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2019,1,4,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2019,1,4,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2019,1,4,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2019,1,4,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2019,1,4,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2019,1,4,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2019,1,4,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2019,1,4,7,30,54,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2019,1,4,8,30,230,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2019,1,4,9,30,397,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2019,1,4,10,30,521,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2019,1,4,11,30,587,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2019,1,4,12,30,588,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2019,1,4,13,30,525,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2019,1,4,14,30,404,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2019,1,4,15,30,237,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2019,1,4,16,30,60,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2019,1,4,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2019,1,4,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2019,1,4,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2019,1,4,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2019,1,4,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2019,1,4,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2019,1,4,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2019,1,5,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2019,1,5,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2019,1,5,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2019,1,5,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2019,1,5,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2019,1,5,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2019,1,5,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2019,1,5,7,30,55,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2019,1,5,8,30,233,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2019,1,5,9,30,401,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2019,1,5,10,30,505,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2019,1,5,11,30,592,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2019,1,5,12,30,591,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2019,1,5,13,30,527,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2019,1,5,14,30,403,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2019,1,5,15,30,159,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2019,1,5,16,30,42,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2019,1,5,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2019,1,5,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2019,1,5,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2019,1,5,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2019,1,5,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2019,1,5,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2019,1,5,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2019,1,6,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2019,1,6,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2019,1,6,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2019,1,6,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2019,1,6,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2019,1,6,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2019,1,6,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2019,1,6,7,30,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2019,1,6,8,30,77,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2019,1,6,9,30,240,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2019,1,6,10,30,107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2019,1,6,11,30,345,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2019,1,6,12,30,156,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2019,1,6,13,30,460,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2019,1,6,14,30,218,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2019,1,6,15,30,96,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2019,1,6,16,30,35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2019,1,6,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2019,1,6,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2019,1,6,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2019,1,6,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019,1,6,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2019,1,6,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2019,1,6,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019,1,7,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2019,1,7,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2019,1,7,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2019,1,7,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2019,1,7,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2019,1,7,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2019,1,7,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2019,1,7,7,30,55,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2019,1,7,8,30,230,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2019,1,7,9,30,397,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2019,1,7,10,30,521,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2019,1,7,11,30,588,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2019,1,7,12,30,587,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2019,1,7,13,30,527,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019,1,7,14,30,408,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2019,1,7,15,30,244,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2019,1,7,16,30,66,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2019,1,7,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2019,1,7,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2019,1,7,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2019,1,7,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2019,1,7,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2019,1,7,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2019,1,7,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2019,1,8,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2019,1,8,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2019,1,8,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2019,1,8,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2019,1,8,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2019,1,8,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2019,1,8,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2019,1,8,7,30,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2019,1,8,8,30,191,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2019,1,8,9,30,394,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2019,1,8,10,30,521,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,2019,1,8,11,30,517,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2019,1,8,12,30,494,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2019,1,8,13,30,504,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2019,1,8,14,30,410,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2019,1,8,15,30,180,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,2019,1,8,16,30,43,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2019,1,8,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,2019,1,8,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2019,1,8,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2019,1,8,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,2019,1,8,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019,1,8,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2019,1,8,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2019,1,9,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2019,1,9,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2019,1,9,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2019,1,9,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2019,1,9,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2019,1,9,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2019,1,9,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019,1,9,7,30,50,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2019,1,9,8,30,191,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2019,1,9,9,30,394,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2019,1,9,10,30,500,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2019,1,9,11,30,547,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2019,1,9,12,30,502,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2019,1,9,13,30,446,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2019,1,9,14,30,382,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2019,1,9,15,30,181,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2019,1,9,16,30,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2019,1,9,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2019,1,9,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,2019,1,9,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2019,1,9,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2019,1,9,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2019,1,9,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2019,1,9,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2019,1,10,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2019,1,10,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2019,1,10,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2019,1,10,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2019,1,10,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2019,1,10,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2019,1,10,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2019,1,10,7,30,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2019,1,10,8,30,162,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2019,1,10,9,30,330,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2019,1,10,10,30,345,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2019,1,10,11,30,416,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2019,1,10,12,30,565,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2019,1,10,13,30,521,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2019,1,10,14,30,345,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
