,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
27,2017,1,2,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2017,1,2,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2017,1,2,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2017,1,2,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2017,1,2,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2017,1,2,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2017,1,2,7,30,41,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2017,1,2,8,30,186,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2017,1,2,9,30,364,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2017,1,2,10,30,403,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2017,1,2,11,30,514,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2017,1,2,12,30,612,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2017,1,2,13,30,547,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2017,1,2,14,30,423,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2017,1,2,15,30,178,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2017,1,2,16,30,46,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2017,1,2,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2017,1,2,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2017,1,2,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2017,1,2,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2017,1,2,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2017,1,2,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2017,1,2,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2017,1,3,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2017,1,3,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2017,1,3,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2017,1,3,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2017,1,3,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2017,1,3,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2017,1,3,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2017,1,3,7,30,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2017,1,3,8,30,175,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2017,1,3,9,30,319,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2017,1,3,10,30,538,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2017,1,3,11,30,603,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2017,1,3,12,30,605,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2017,1,3,13,30,540,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2017,1,3,14,30,418,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2017,1,3,15,30,200,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2017,1,3,16,30,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2017,1,3,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2017,1,3,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2017,1,3,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2017,1,3,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2017,1,3,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2017,1,3,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2017,1,3,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2017,1,4,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2017,1,4,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2017,1,4,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2017,1,4,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2017,1,4,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2017,1,4,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2017,1,4,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2017,1,4,7,30,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2017,1,4,8,30,246,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2017,1,4,9,30,418,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2017,1,4,10,30,546,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2017,1,4,11,30,612,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2017,1,4,12,30,611,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2017,1,4,13,30,547,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2017,1,4,14,30,424,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2017,1,4,15,30,256,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2017,1,4,16,30,72,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2017,1,4,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2017,1,4,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2017,1,4,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2017,1,4,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2017,1,4,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2017,1,4,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2017,1,4,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2017,1,5,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2017,1,5,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2017,1,5,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2017,1,5,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2017,1,5,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2017,1,5,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2017,1,5,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2017,1,5,7,30,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2017,1,5,8,30,184,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2017,1,5,9,30,226,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2017,1,5,10,30,538,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2017,1,5,11,30,604,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2017,1,5,12,30,546,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2017,1,5,13,30,433,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2017,1,5,14,30,313,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2017,1,5,15,30,255,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2017,1,5,16,30,73,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2017,1,5,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2017,1,5,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2017,1,5,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2017,1,5,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2017,1,5,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2017,1,5,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2017,1,5,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2017,1,6,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2017,1,6,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2017,1,6,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2017,1,6,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2017,1,6,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2017,1,6,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2017,1,6,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2017,1,6,7,30,62,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2017,1,6,8,30,132,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2017,1,6,9,30,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2017,1,6,10,30,171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2017,1,6,11,30,375,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2017,1,6,12,30,478,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2017,1,6,13,30,487,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2017,1,6,14,30,453,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2017,1,6,15,30,277,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2017,1,6,16,30,84,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2017,1,6,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2017,1,6,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2017,1,6,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2017,1,6,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2017,1,6,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2017,1,6,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2017,1,6,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2017,1,7,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2017,1,7,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2017,1,7,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2017,1,7,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2017,1,7,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2017,1,7,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2017,1,7,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2017,1,7,7,30,70,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2017,1,7,8,30,259,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2017,1,7,9,30,435,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2017,1,7,10,30,560,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2017,1,7,11,30,629,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2017,1,7,12,30,632,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2017,1,7,13,30,565,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2017,1,7,14,30,441,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2017,1,7,15,30,271,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2017,1,7,16,30,82,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2017,1,7,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2017,1,7,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2017,1,7,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2017,1,7,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2017,1,7,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2017,1,7,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2017,1,7,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2017,1,8,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2017,1,8,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2017,1,8,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2017,1,8,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2017,1,8,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2017,1,8,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2017,1,8,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2017,1,8,7,30,64,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2017,1,8,8,30,246,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2017,1,8,9,30,413,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2017,1,8,10,30,538,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,2017,1,8,11,30,604,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2017,1,8,12,30,608,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2017,1,8,13,30,545,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2017,1,8,14,30,425,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2017,1,8,15,30,261,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,2017,1,8,16,30,80,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2017,1,8,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,2017,1,8,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2017,1,8,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2017,1,8,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,2017,1,8,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2017,1,8,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2017,1,8,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2017,1,9,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2017,1,9,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2017,1,9,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2017,1,9,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2017,1,9,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2017,1,9,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2017,1,9,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2017,1,9,7,30,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2017,1,9,8,30,148,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2017,1,9,9,30,417,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2017,1,9,10,30,543,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2017,1,9,11,30,609,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2017,1,9,12,30,612,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2017,1,9,13,30,552,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2017,1,9,14,30,316,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2017,1,9,15,30,178,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2017,1,9,16,30,47,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2017,1,9,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2017,1,9,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,2017,1,9,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2017,1,9,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2017,1,9,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2017,1,9,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2017,1,9,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2017,1,10,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2017,1,10,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2017,1,10,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2017,1,10,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2017,1,10,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2017,1,10,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2017,1,10,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2017,1,10,7,30,42,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2017,1,10,8,30,189,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2017,1,10,9,30,359,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2017,1,10,10,30,465,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2017,1,10,11,30,533,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2017,1,10,12,30,515,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2017,1,10,13,30,476,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2017,1,10,14,30,377,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
